date,id,paper_title,page,n_pages,string_length,character_proportion,men_count,women_count,size,total_count,year,men_areas,women_areas
1950-05-01,KBNRC01:000087582:mpeg21:a0113,Algemeen Handelsblad,6,8,436,7.122891109619007e-05,0,1,3186414,1,1950,[],[0.34807529718360514]
1950-05-02,KBNRC01:000087583:mpeg21:a0130,Algemeen Handelsblad,8,8,221,2.089321619014377e-05,1,1,5757794,2,1950,[0.0900749488432549],[0.17974001848624666]
1950-05-06,KBNRC01:000087587:mpeg21:a0174,Algemeen Handelsblad,11,12,732,5.289445006427904e-05,1,0,8960739,1,1950,[0.13216834013355372],[]
1950-05-11,KBNRC01:000087591:mpeg21:a0140,Algemeen Handelsblad,8,8,358,5.518743379049493e-05,0,3,3745500,3,1950,[],"[0.3117244693632359, 0.18711333600320385, 0.16822186623948737]"
1950-05-12,KBNRC01:000087592:mpeg21:a0180,Algemeen Handelsblad,12,12,483,6.662866671485635e-05,2,1,7249132,3,1950,"[0.045592493004679734, 0.3217863876668269]",[0.05111122269535166]
1950-05-12,KBNRC01:000087592:mpeg21:a0182,Algemeen Handelsblad,12,12,203,5.993892135334408e-06,2,11,31378618,13,1950,"[0.010765929844329027, 0.07528830619627672]","[0.016001724486400262, 0.022342985277426813, 0.008776677162773708, 0.014549907838516023, 0.015103533240374067, 0.015551194765811547, 0.011538175454381069, 0.011805746193156117, 0.014738571341797143, 0.012594977892270463, 0.017266534810424092]"
1950-05-12,KBNRC01:000087592:mpeg21:a0183,Algemeen Handelsblad,12,12,35,1.0426186768156164e-05,0,1,3184914,1,1950,[],[0.1346441379578852]
1950-05-13,KBNRC01:000087593:mpeg21:a0019,Algemeen Handelsblad,2,14,200,7.469169137094359e-05,1,0,2263786,1,1950,[0.23648171691140418],[]
1950-05-13,KBNRC01:000087593:mpeg21:a0071,Algemeen Handelsblad,5,14,1081,0.00015965845791788533,2,0,5700315,2,1950,"[0.045100139202833525, 0.05154978277516242]",[]
1950-05-13,KBNRC01:000087593:mpeg21:a0214,Algemeen Handelsblad,14,14,1410,0.0001208946823830897,0,3,8995220,3,1950,[],"[0.014163077723502037, 0.023183312915081567, 0.0360186854796214]"
1950-05-17,KBNRC01:000087596:mpeg21:a0187,Algemeen Handelsblad,10,10,554,0.0001027862304300305,1,1,3056967,2,1950,[0.2702076927883095],[0.083409143768971]
1950-05-19,KBNRC01:000087597:mpeg21:a0114,Algemeen Handelsblad,8,12,662,8.522690698422916e-05,0,1,4971340,1,1950,[],[0.47252853355433344]
1950-05-20,KBNRC01:000087598:mpeg21:a0079,Algemeen Handelsblad,5,12,295,0.00036252276520076386,1,0,673550,1,1950,[0.24418677158340138],[]
1950-05-22,KBNRC01:000087599:mpeg21:a0137,Algemeen Handelsblad,8,8,311,0.00011066631082643892,1,1,1497282,2,1950,[0.15560261861159086],[0.19464469618949537]
1950-05-23,KBNRC01:000087600:mpeg21:a0139,Algemeen Handelsblad,8,8,31,1.3990318699459973e-05,0,1,1705158,1,1950,[],[0.3040727017672263]
1950-05-24,KBNRC01:000087601:mpeg21:a0073,Algemeen Handelsblad,5,8,1641,0.000119885549846198,0,2,10484985,2,1950,[],"[0.029983543133347352, 0.03335083455055014]"
1950-05-26,KBNRC01:000087603:mpeg21:a0098,Algemeen Handelsblad,6,8,458,3.0000111354125123e-05,0,1,8845906,1,1950,[],[0.07074459077453457]
1950-05-27,KBNRC01:000087604:mpeg21:a0101,Algemeen Handelsblad,6,14,1755,0.0002280029745618835,1,2,5647320,3,1950,[0.13212107690019337],"[0.015251482118951998, 0.19003846072119165]"
1950-05-27,KBNRC01:000087604:mpeg21:a0170,Algemeen Handelsblad,11,14,703,0.0004030722938540362,1,0,1334200,1,1950,[0.35349722680257833],[]
1950-05-27,KBNRC01:000087604:mpeg21:a0218,Algemeen Handelsblad,14,14,354,3.404004570981957e-05,2,0,5973624,2,1950,"[0.1607340870466571, 0.16078983210192005]",[]
1950-06-02,KBNRC01:000087608:mpeg21:a0113,Algemeen Handelsblad,6,8,431,0.00011471305368011985,0,1,3137057,1,1950,[],[0.31797892100781083]
1950-06-02,KBNRC01:000087608:mpeg21:a0146,Algemeen Handelsblad,8,8,162,2.627988728848341e-05,0,1,3211278,1,1950,[],[0.1326985704756798]
1950-06-03,KBNRC01:000087609:mpeg21:a0095,Algemeen Handelsblad,7,12,539,0.00010563416165671994,1,1,2832714,2,1950,[0.07586858397988643],[0.23324839712021758]
1950-06-03,KBNRC01:000087609:mpeg21:a0117,Algemeen Handelsblad,8,12,827,7.063408741271522e-05,0,2,5358096,2,1950,[],"[0.08110436991050553, 0.3603589782639206]"
1950-06-07,KBNRC01:000087612:mpeg21:a0071,Algemeen Handelsblad,4,8,1074,0.00026356112802199583,0,1,2754248,1,1950,[],[0.3409104771974056]
1950-06-08,KBNRC01:000087613:mpeg21:a0161,Algemeen Handelsblad,8,8,358,5.6004477855235e-05,1,0,3529500,1,1950,[0.11403881569627426],[]
1950-06-08,KBNRC01:000087613:mpeg21:a0173,Algemeen Handelsblad,8,8,277,4.6984988550589426e-05,1,1,3062070,2,1950,[0.016820647470501982],[0.0075302001587161625]
1950-06-09,KBNRC01:000087614:mpeg21:a0092,Algemeen Handelsblad,6,8,123,1.0574710588225584e-05,1,2,6194052,3,1950,[0.24199861415435325],"[0.22703232068442436, 0.24507866579098786]"
1950-06-09,KBNRC01:000087614:mpeg21:a0136,Algemeen Handelsblad,8,8,305,0.0001739310936330955,2,1,1089968,3,1950,"[0.09945429590593485, 0.06821668159065221]",[0.11701627937700923]
1950-06-10,KBNRC01:000087615:mpeg21:a0178,Algemeen Handelsblad,12,12,1323,0.00023528825924035504,2,0,4018086,2,1950,"[0.023666740831331138, 0.026937452309383124]",[]
1950-06-14,KBNRC01:000087618:mpeg21:a0123,Algemeen Handelsblad,8,8,451,0.00014051297517375628,0,1,3209668,1,1950,[],[0.28773817105071303]
1950-06-15,KBNRC01:000087619:mpeg21:a0089,Algemeen Handelsblad,6,10,1040,0.00039770128656366205,2,1,2067912,3,1950,"[0.02461178231955712, 0.02768009470422339]",[0.04486506195621477]
1950-06-15,KBNRC01:000087619:mpeg21:a0093,Algemeen Handelsblad,6,10,981,0.0003894142828108328,1,0,2404368,1,1950,[0.04849507230174416],[]
1950-06-15,KBNRC01:000087619:mpeg21:a0134,Algemeen Handelsblad,8,10,108,2.7299737467524687e-05,1,0,2301305,1,1950,[0.1470261438618523],[]
1950-06-16,KBNRC01:000087620:mpeg21:a0065,Algemeen Handelsblad,4,6,401,0.00011308255139052058,1,0,2123056,1,1950,[0.20494419365292296],[]
1950-06-17,KBNRC01:000087621:mpeg21:a0117,Algemeen Handelsblad,8,12,681,8.136299868887293e-05,2,3,5659641,5,1950,"[0.03431454397902623, 0.018923461753139467]","[0.028599870557160782, 0.03584944698789199, 0.025619999572411043]"
1950-06-21,KBNRC01:000087624:mpeg21:a0023,Algemeen Handelsblad,2,6,31,2.03827217640128e-05,2,0,866560,2,1950,"[0.0173028988183161, 0.2844696270310192]",[]
1950-06-23,KBNRC01:000087626:mpeg21:a0092,Algemeen Handelsblad,5,8,129,9.911823191514865e-05,1,1,976864,2,1950,[0.0804062796868346],[0.06575736233498215]
